['925.0', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mcn_ugc_article']
['690.8', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_comment_system_comment_info']
['634.2', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_24news_article']
['535.1', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_zjxw_log_di']
['409.7', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_user_action_log_filter']
['397.0', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_tmxw_log']
['391.9', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_wcmmetatablewebsite']
['383.7', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_wangmai_web_log']
['361.2', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_tmxw_app_event_ua_di']
['358.1', 'G', '/user/datahome/hive_db/datahome.db/ods_mlf2_wcmmetatablepaper_df']
['354.3', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_zjxw_article_content']
['347.4', 'G', '/user/datahome/hive_db/datahome.db/ods_tmy_wcmmetatablepaper_df']
['344.4', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_dc_xb_article_total']
['336.9', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_tmxw_user_action_log_history']
['336.3', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_zjxw_rs_article_info']
['333.4', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_tmxw_log_di']
['326.1', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_wcmmetatablereleasesource']
['318.3', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_tmxw_log_stag']
['273.5', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_tmxw_user_action_log']
['235.8', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_tmxw_article_info_df']
['218.5', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_wcmmetatableapp']
['213.3', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_wcmmetatablereleasesource_2_0']
['209.8', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_sensors_events_his']
['200.9', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_wcmmetatableapp_2_0']
['196.5', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_wcmchnldoc_2_0']
['194.3', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_zjxw_article_summary_3d']
['191.5', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_app_article_summary_3d']
['180.2', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_mcn_zjxw_article_summary_d']
['169.5', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_zjxw_client_session_info']
['168.9', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_tmxw_client_session_info']
['167.1', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_xsb_article_content']
['162.6', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_zjxw_account_info']
['153.5', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_zjxw_client_device']
['141.0', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_rs_device_article_summary_30d']
['138.7', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_tmxw_account_info']
['137.7', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_article_summary_d']
['136.9', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_zjxw_article_summary_1d']
['129.1', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_app_article_summary_1d']
['123.3', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_zjxw_content_city_channel_article_summary_1d']
['123.2', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_zjxw_app_content_city_channel_article_summary_1d']
['121.4', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_24news_article_summary_d']
['111.0', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_tmxw_article_content']
['108.1', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_mcn_article_summary_d']
['95.7', 'G', '/user/datahome/hive_db/datahome.db/dim_mlf_article_df']
['94.5', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_xwcmmetadatalog_2_0']
['92.5', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_tmxw_client_device']
['85.1', 'G', '/user/datahome/hive_db/datahome.db/ods_tmy_wcmdocument_df']
['82.7', 'G', '/user/datahome/hive_db/datahome.db/edw_dim_24news_appcustomvisitormapping']
['82.3', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_cas_exmediareprint']
['81.4', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_wcmmetatablewebsite_2_0']
['78.7', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_zjxw_channel_article']
['76.6', 'G', '/user/datahome/hive_db/datahome.db/edw_fact_tmxw_rs_log_account_article_summary_30d']
['76.1', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_24news_log_his']
['74.4', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_xsb_account_info']
['73.1', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_web_event_ua_di']
['68.0', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_web_event_read_di']
['63.4', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_wangmai_web_log_bk']
['60.7', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_zjxw_web_event_read_di']
['60.4', 'G', '/user/datahome/hive_db/datahome.db/dwd_zbjt_zjxw_web_event_ua_di']
['59.5', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_xwcmfgduser']
['57.2', 'G', '/user/datahome/hive_db/datahome.db/ods_tmy_wcmmetatablewebsite_df']
['56.6', 'G', '/user/datahome/hive_db/datahome.db/edm_fact_zjxw_sailing_article_summary_7d']
['53.2', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_zjxw_article_metadata']
['52.7', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_getui_user_tag_info']
['50.5', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_wangmai_cas_inmediapublish']
['49.6', 'G', '/user/datahome/hive_db/datahome.db/ods_fact_ypt_activity_log']
['49.0', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_24news_comments']
['48.5', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_zjxw_cas_inmediapublish']
['48.5', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_mlf_wcmchnldoc']
['46.0', 'G', '/user/datahome/hive_db/datahome.db/ods_dim_zjxw_red_boat_article']
